source_document_id,location_document_id,entitity_document_id,sfm:iso,sfm:country_name
1FD0sAVlsXG0iFGx3iufOZaMBM7MEw5RTUlZGo-OmI7U,1ztOfGaQT3WDrq-BOjT0x5VErzgrWQ0Ku,1Ck11zLFVP6iJZFAR0_Xsq0UaeEJrmFl7ysbFX9mGu7c,ae,united-arab-emirates
1FD0sAVlsXG0iFGx3iufOZaMBM7MEw5RTUlZGo-OmI7U,1HpIjYaH_iMCRQD1jP159VGz-2NL4nB5p,1EqAi59wjE1v-bYX3cC1qdl6zkThpWJ8YcvSPUC-RGHc,bd,bangladesh
1FD0sAVlsXG0iFGx3iufOZaMBM7MEw5RTUlZGo-OmI7U,1j8KgLnpjlnLy6bN4ozkwnBpkHUI6i3si,1wBmSuTkoEhosDzfHtyvZqd9SKez-sWoPoJ9oPonWsSo,bf,burkina-faso
1FD0sAVlsXG0iFGx3iufOZaMBM7MEw5RTUlZGo-OmI7U,1mjTLMZ1la3zyiVQxLZ56sW497Sp8Lh5m,1c0O2XlwSpTAtB0AdhkkdgevWbsBUxvsmsETUwPPVIlk,bh,bahrain
1FD0sAVlsXG0iFGx3iufOZaMBM7MEw5RTUlZGo-OmI7U,1qZoQciglG1DOeEa3hh5iUvF7q4_bKOQl,1cZVy2PUAzeq2xOoLRLwL9z9mqbry32zv_XY7sjEih2c,eg,egypt
1FD0sAVlsXG0iFGx3iufOZaMBM7MEw5RTUlZGo-OmI7U,1eZHw6k7xM7Z_ZNMnF0Wc5cjJuVyuOop3,1CKkNsXwRdwXDiOldwT-6baw9DayXA2Vsn4ttpwP9SuM,jo,jordan
1FD0sAVlsXG0iFGx3iufOZaMBM7MEw5RTUlZGo-OmI7U,1vnWgeTkq5TUyF7555F4renMJnl4WiFNy,1Y6-9-9kai-YyK1pXvcv_W6fqUn9lORltUhuFc2YUu1I,kw,kuwait
1FD0sAVlsXG0iFGx3iufOZaMBM7MEw5RTUlZGo-OmI7U,13XnZOF7U0uwL3EP_QpdTVd1FUh3A3cwi,1aGbMvFHzGn9ZlKKcFhiQ2c9egsoGDH11QBgyqmhS-IM,lr,liberia
1FD0sAVlsXG0iFGx3iufOZaMBM7MEw5RTUlZGo-OmI7U,1fnTq_ONVxzVBbCyQy_-s6ngmadA6st70,16962grIJlisFbh2Zp9kBAhv6jVnZz6bHgb6RGBUHd3o,ma,morocco
1FD0sAVlsXG0iFGx3iufOZaMBM7MEw5RTUlZGo-OmI7U,1syUOihIFKzk6QsLXd7XNUZIwzZZfAqEH,1UcgoJ_ytS-WSWl2_5OuV9h92wSCBWRFBoDtr4Ztqt14,ml,mali
